"Name","top_k_experts","top_k_tokens","top_p_experts","top_p_tokens","execution_accuracy","exact_match","fallbacks","switches_wo_fallback","switches","execution_accuracy_easy","execution_accuracy_medium","fallbacks (Min)","switches (Min)","switches_wo_fallback (Min)","Commit","Created","Description","Runtime","GitHub","Group","End Time","Hostname","Job Type","ID","Notes","GPU Type","GPU Count","State","Sweep","Updated","User","Tags","method","metric.goal","metric.name","name","program","exact_match_easy","exact_match_extra","exact_match_hard","exact_match_medium","execution_accuracy_extra","execution_accuracy_hard","parameters.top_k_expertss","parameters.top_p_expertss","parameters.top_k_tokenss","parameters.top_p_tokenss","command"
"floral-sweep-65","0","10","0","0.8","0.09","0.02","843","2223","24984","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T16:21:02.000Z","","1741","","","2024-06-02T16:50:03.000Z","gx02","","prrhhnho","-","NVIDIA A100-SXM4-80GB","3","finished","kalacugk","2024-06-02T16:50:03.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"fallen-sweep-125","0","40","0","0.8","0.1","0.02","842","2216","24950","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T22:59:50.000Z","","1212","","","2024-06-02T23:20:02.000Z","04ddb2d107b3","","lwiysx3q","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T23:20:02.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"drawn-sweep-15","0","0","0","0.8","0.1","0.02","842","2216","24950","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T12:08:21.000Z","","1161","","","2024-06-02T12:27:42.000Z","04ddb2d107b3","","gskrzkmt","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T12:27:42.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"absurd-sweep-95","0","20","0","0.8","0.1","0.02","842","2216","24950","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T19:16:47.000Z","","1221","","","2024-06-02T19:37:08.000Z","04ddb2d107b3","","34iqy7fy","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T19:37:08.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"faithful-sweep-35","0","5","0","0.8","0.1","0.02","848","2213","25109","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T13:58:53.000Z","","1110","","","2024-06-02T14:17:23.000Z","04ddb2d107b3","","fy15tznh","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T14:17:23.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"golden-sweep-14","0","0","0","0.6","0.1","0.02","928","2109","27165","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T11:55:14.000Z","","1184","","","2024-06-02T12:14:58.000Z","04ddb2d107b3","","7bvkeb12","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T12:14:58.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"jolly-sweep-124","0","40","0","0.6","0.1","0.02","928","2109","27165","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T22:50:59.000Z","","1244","","","2024-06-02T23:11:43.000Z","04ddb2d107b3","","itpfdm7k","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T23:11:43.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"revived-sweep-94","0","20","0","0.6","0.1","0.02","928","2109","27165","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T18:56:12.000Z","","1183","","","2024-06-02T19:15:55.000Z","04ddb2d107b3","","22uw4hdp","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T19:15:55.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"absurd-sweep-64","0","10","0","0.6","0.1","0.02","928","2109","27165","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T16:17:03.000Z","","1154","","","2024-06-02T16:36:17.000Z","04ddb2d107b3","","uqq6zc71","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T16:36:17.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"splendid-sweep-34","0","5","0","0.6","0.09","0.02","930","2096","27206","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T13:58:51.000Z","","1751","","","2024-06-02T14:28:02.000Z","gx02","","t7412jhk","-","NVIDIA A100-SXM4-80GB","3","finished","kalacugk","2024-06-02T14:28:02.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
